pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt
TOI-172 b,TOI-172,Transiting Exoplanet Survey Satellite (TESS),9.47725,0.0914,10.817,0.965,1722.6386,5.42,0.3806,299.0,1198.0
TOI-1728 b,TOI-1728,Transiting Exoplanet Survey Satellite (TESS),3.49151,0.0391,5.05,0.451,26.78,0.08426,0.057,57.78,767.0
TOI-178 b,TOI-178,Transiting Exoplanet Survey Satellite (TESS),1.914558,0.02607,1.1520000000000001,0.10300000000000001,1.5,0.00472,0.118,48.71,1040.0
TOI-178 c,TOI-178,Transiting Exoplanet Survey Satellite (TESS),3.23845,0.037,1.669,0.149,4.77,0.015009999999999999,0.118,48.71,873.0
TOI-178 d,TOI-178,Transiting Exoplanet Survey Satellite (TESS),6.5577,0.0592,2.572,0.22899999999999998,3.01,0.009470000000000001,0.118,48.71,690.0
TOI-178 e,TOI-178,Transiting Exoplanet Survey Satellite (TESS),9.961881,0.0783,2.207,0.19699999999999998,3.86,0.01214,0.118,20.54,600.0
TOI-178 f,TOI-178,Multiple Observatories,15.231915,0.1039,2.287,0.204,7.72,0.02429,0.118,19.5,521.0
TOI-178 g,TOI-178,Transiting Exoplanet Survey Satellite (TESS),20.7095,0.1275,2.87,0.256,3.94,0.0124,0.118,19.5,470.0
TOI-1899 b,TOI-1899,Transiting Exoplanet Survey Satellite (TESS),29.02,0.1587,12.89,1.15,209.7678,0.66,0.118,2.9,362.0
TOI-216.01,TOI-216,Transiting Exoplanet Survey Satellite (TESS),34.556,0.2069,11.29,1.0070000000000001,200.0,0.62927,0.029,10.1,497.0
TOI-216.02,TOI-216,Transiting Exoplanet Survey Satellite (TESS),17.089,0.1293,7.69,0.6859999999999999,30.0,0.09439,0.132,25.9,628.0
TOI-237 b,TOI-237,Transiting Exoplanet Survey Satellite (TESS),5.436098,0.0341,1.44,0.128,2.67,0.00839,0.0,3.7,388.0
TOI-251 b,TOI-251,Transiting Exoplanet Survey Satellite (TESS),4.93777,0.05741,2.74,0.244,317.83,1.0,0.0,277.59,1041.0
TOI-270 b,TOI-270,Transiting Exoplanet Survey Satellite (TESS),3.36008,0.0306,1.247,0.111,2.09,0.00657,0.0,22.17,528.0
TOI-270 c,TOI-270,Transiting Exoplanet Survey Satellite (TESS),5.660172,0.0472,2.42,0.21600000000000003,6.44,0.0203,0.0,14.0,424.0
