,pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt
36,7 CMa c,7 CMa,Multiple Observatories,996.0,2.153,13.9,276.5121,0.08,98.09,546.0
37,70 Vir b,70 Vir,Lick Observatory,116.68799999999999,0.48100000000000004,12.6,2380.45,0.3988,98.09,546.0
38,75 Cet b,75 Cet,Okayama Astrophysical Observatory,691.9,2.1,13.1,953.49,0.11699999999999999,98.09,546.0
39,8 UMi b,8 UMi,Bohyunsan Optical Astronomical Observatory,93.4,0.49,13.6,416.3573,0.06,98.09,546.0
40,81 Cet b,81 Cet,Okayama Astrophysical Observatory,952.7,2.5,12.8,1684.4,0.20600000000000002,98.09,546.0
41,91 Aqr b,91 Aqr,Lick Observatory,181.4,0.7,13.1,1017.0,0.027000000000000003,98.09,546.0
42,AB Pic b,AB Pic,Paranal Observatory,8.46321,260.0,12.3,4290.5,0.1,98.09,546.0
43,AU Mic b,AU Mic,Transiting Exoplanet Survey Satellite (TESS),8.46321,0.066,4.203,57.2094,0.1,98.09,546.0
44,BD+03 2562 b,BD+03 2562,Multiple Observatories,481.9,1.3,12.7,2034.112,0.2,98.09,546.0
45,BD+14 4559 b,BD+14 4559,McDonald Observatory,268.94,0.78,13.8,330.5432,0.29,98.09,546.0
46,BD+15 2375 b,BD+15 2375,Roque de los Muchachos Observatory,153.22,0.5760000000000001,13.8,337.21763,0.001,98.09,546.0
47,BD+15 2940 b,BD+15 2940,McDonald Observatory,137.48,0.539,13.7,352.78,0.26,98.09,546.0
48,BD+20 2457 b,BD+20 2457,McDonald Observatory,379.63,1.05,11.6,17668.1697,0.15,98.09,546.0
49,BD+20 2457 c,BD+20 2457,McDonald Observatory,621.99,2.01,12.4,3963.17,0.18,98.09,546.0
50,BD+20 274 b,BD+20 274,McDonald Observatory,578.2,1.3,13.0,1334.886,0.21,98.09,546.0
51,BD+20 594 b,BD+20 594,K2,41.6855,0.24100000000000002,2.5780000000000003,22.2481,0.0,98.09,546.0
52,BD+48 738 b,BD+48 738,McDonald Observatory,392.6,1.0,13.9,289.2253,0.2,98.09,370.0
53,BD+48 740 b,BD+48 740,Multiple Observatories,733.0,1.7,13.5,540.311,0.76,98.09,370.0
54,BD+49 828 b,BD+49 828,McDonald Observatory,2590.0,4.2,13.5,508.5,0.35,98.09,370.0
55,BD-06 1339 b,BD-06 1339,La Silla Observatory,3.8728,0.0428,2.85,8.5,0.0,98.09,370.0
56,BD-06 1339 c,BD-06 1339,La Silla Observatory,125.94,0.435,8.38,53.0,0.31,98.09,370.0
57,BD-08 2823 b,BD-08 2823,La Silla Observatory,5.6,0.06,3.61,12.7132,0.15,98.09,370.0
